date,customer_id,product,quantity,unit_price,category
2025-09-22,261190649,Wireless Mouse,4531,172.94,Electronics
2025-09-22,116312873,Ramen Noodle Soup Cups,5293,9.08,Food
2025-09-24,53100850,Digital Photo Frame,6318,126.48,Electronics
2025-09-25,322283835,Cream Cheese,8103,83.33,Food
2025-09-26,103103642,Portable Laptop Table,3965,90.77,Office
2025-09-28,31100490,Organic Almond Flour,8025,74.36,Food
2025-09-30,121135087,Peanut Butter Banana Smoothie Mix,7459,71.38,Food
2025-10-02,61219571,Leather Crossbody Bag,6307,193.71,Clothing
2025-10-02,113103726,Vegetable Sushi Rolls,7154,170.84,Food
2025-10-03,111904150,Honey Sesame Chicken,7634,97.47,Food
2025-10-04,101014953,Protein Powder,3697,87.6,Sports
2025-10-04,75903792,Hibiscus Tea Bags,3628,139.18,Food
2025-10-06,71926320,Fire Roasted Salsa,174,76.84,Food
2025-10-07,21308781,Frozen Chicken Nuggets,3623,130.92,Food
2025-10-09,61209756,Electric Heat Press Machine,5627,10.62,Tools
2025-10-11,53274113,Pumpkin Pie Spice,939,94.93,Food
2025-10-13,125106708,Sliced Olives,8361,82.7,Food
2025-10-13,61103548,Non-Toxic Concrete Sealer,9075,174.07,Home
2025-10-17,61120178,Coffee Subscription Service,1421,17.73,Food
2025-10-17,104900116,Kids' Art Easel,1844,125.86,Toys
2025-10-18,81904808,Organic Cereal Bars,1661,133.7,Food
2025-10-19,241272079,Honey Graham Crackers,118,15.86,Food
2025-10-23,102004331,Baking Soda,2644,115.84,Food
2025-10-23,61119639,Asian Noodle Salad Kit,2483,15.1,Food
2025-10-27,251573182,Terry Cloth Robe,5409,196.78,Clothing
2025-10-29,43403282,Window Bird Feeder with Suction Cups,8933,176.65,Outdoor
2025-10-30,222370440,Lemon Garlic Marinade,8428,169.44,Food
2025-10-30,65303467,Cotton Quilted Throw Blanket,8907,79.59,Home
2025-11-02,226071020,Stainless Steel Straws,2817,83.6,Home
2025-11-03,31301846,Cranberry Pecan Granola,979,97.37,Food
2025-11-04,81509449,Mechanical Pencil Set,1713,72.03,Office
2025-11-08,74071926,Adjustable Laptop Desk,197,30.33,Office
2025-11-09,231373069,Garlic Parmesan Roasted Nuts,2171,145.16,Food
2025-11-10,31315007,Two-Tone Windbreaker,1375,113.07,Clothing
2025-11-10,72000339,Pressure Washer Accessories Kit,7407,128.76,Home
2025-11-10,111910005,Electric Kettle with Temperature Control,9134,46.65,Home
2025-11-13,81504172,Diced Tomatoes (canned),2404,20.06,Food
2025-11-15,111313479,Fruit Medley Juice,2364,35.51,Food
2025-11-16,67003985,Apple Sauce,4901,183.42,Food
2025-11-16,43318814,Chipotle Seasoning Blend,9167,124.37,Food
2025-11-16,82902472,Shatterproof Wine Glasses,2744,197.06,Home
2025-11-17,82908874,Pet Grooming Scissors,1849,15.8,Pets
2025-11-20,72414006,Yoga Wheel,5581,126.38,Sports
2025-11-23,71123518,Sunglasses,2874,142.99,Clothing
2025-11-23,122287183,Frozen Berry Medley,4178,18.79,Food
2025-11-23,111912605,Garden Vegetable Chips,7485,8.56,Food
2025-11-23,122105566,Scented Candles,4487,62.77,Home
2025-11-26,91409762,Magnet Travel Fridge Magnets,5497,18.57,Home
2025-11-26,107006143,Beef Stew Meat,6571,180.4,Food
2025-11-26,43317679,Portable Pet Stroller,5705,166.42,Pets
2025-11-27,44000642,Travel Jewelry Organizer,4418,198.22,Clothing
2025-11-30,107002503,LED Christmas Lights,308,64.44,Home
2025-12-03,53112343,Savory Trail Mix,4052,129.11,Food
2025-12-03,125107642,Wireless Game Controller,4185,30.16,Electronics
2025-12-03,41215773,Mini Indoor Herb Garden Kit,735,156.33,Outdoor
2025-12-03,81000210,Outdoor Camping Hammock,5065,145.04,Outdoor
2025-12-04,104913048,Legging Pants,5281,166.33,Clothing
2025-12-04,107006981,Cooking Utensil Set,9092,170.37,Home
2025-12-08,91409746,Honey Glazed Carrots,6132,46.33,Food
2025-12-09,71002053,Cinnamon Roll Dough,1441,66.23,Food
2025-12-11,82901813,Pumpkin Spice Cookies,8935,39.33,Food
2025-12-11,111312551,Multicolored LED Strip Lights,4065,29.84,Home
2025-12-11,65405381,Scented Candles,7829,182.51,Home
2025-12-12,61300367,Dog Waste Bag Dispenser,7549,92.8,Pets
2025-12-14,271071402,Graphic Print Leggings,7702,177.45,Clothing
2025-12-20,114909903,Folding Table,6138,61.48,Outdoor
2025-12-24,101001005,Maple Bacon Potato Chips,3141,130.87,Food
2025-12-27,221371644,Garlic Herb Grilled Chicken,1797,113.75,Food
2025-12-27,21202337,Colorful Post-It Notes Set,7358,27.75,Office
2025-12-29,43301601,Digital Wireless Meat Thermometer,9700,156.25,Home
2025-12-30,103110046,Fruit Medley Juice,6967,30.84,Food
